Symbol;Name;Last Sale;Net Change;% Change;Market Cap;Country;IPO Year;Volume;Sector;Industry
USAC;USA Compression Partners LP Common Units Representing Limited Partner Interests;$15.77;-0.02;-0.127%;1531206080.00;United States;2013;37689;Energy;Oilfield Services/Equipment
USEG;U.S. Energy Corp. Common Stock;$3.7511;-0.0089;-0.237%;17541273.00;United States;;10102;Energy;Oil & Gas Production
USLM;United States Lime & Minerals Inc. Common Stock;$134.00;0.00;0.00%;758234578.00;United States;;368;Energy;Other Metals and Minerals
USWS;U.S. Well Services Inc. Class A Common Stock;$2.345;-0.015;-0.636%;122510311.00;United States;2017;239576;Energy;Metal Fabrications
USWSW;U.S. Well Services Inc. Warrants;$0.138;0.00;0.00%;0.00;United States;2017;10900;Energy;Metal Fabrications
UTME;UTime Limited Ordinary Shares;$5.1001;-0.0599;-1161%;42166571.00;China;2021;45864;Energy;Consumer Electronics/Appliances
VAL;Valaris Limited Common Shares;$35.50;0.01;0.028%;2662501598.00;;2021;56066;Energy;Oil & Gas Production
VIST;Vista Oil & Gas S.A.B. de C.V. American Depositary Shares each representing one series A share with no par value;$6.03;0.06;1005%;533230500.00;;2019;138351;Energy;Oil & Gas Production
VLO;Valero Energy Corporation Common Stock;$77.61;0.75;0.976%;31729732080.00;United States;;918935;Energy;Integrated oil Companies
VNOM;Viper Energy Partners LP Common Unit;$22.77;0.17;0.752%;1801576130.00;United States;2014;111135;Energy;Oil & Gas Production
VOC;VOC Energy Trust Units of Beneficial Interest;$4.9315;-0.0185;-0.374%;83835500.00;United States;2011;48076;Energy;Oil & Gas Production
VTNR;Vertex Energy Inc Common Stock;$4.6128;0.0028;0.061%;291917427.00;United States;;491114;Energy;Oilfield Services/Equipment
VTOL;Bristow Group Inc. Common Stock;$36.52;-0.22;-0.599%;1032229218.00;United States;;8647;Energy;Metal Fabrications
WES;Western Midstream Partners LP Common Units Representing Limited Partner Interests;$22.11;0.46;2125%;9133121636.00;United States;2012;387476;Energy;Oilfield Services/Equipment
WFRD;Weatherford International plc Ordinary Shares;$29.97;-0.20;-0.663%;2102745699.00;United States;;85548;Energy;Metal Fabrications
WHD;Cactus Inc. Class A Common Stock;$42.55;0.78;1867%;2508286290.00;;2018;72694;Energy;Metal Fabrications
WLL;Whiting Petroleum Corporation Common Stock (New);$66.82;0.49;0.739%;2614909624.00;United States;2020;114332;Energy;Oil & Gas Production
WTI;W&T Offshore Inc. Common Stock;$4.145;0.045;1098%;590112342.00;United States;2005;573417;Energy;Oil & Gas Production
WTTR;Select Energy Services Inc. Class A Common Stock;$6.99;-0.02;-0.285%;763167592.00;United States;2017;119025;Energy;Oil & Gas Production
XOM;Exxon Mobil Corporation Common Stock;$64.645;0.455;0.709%;273678928307.00;United States;;5098079;Energy;Oil & Gas Production
XPRO;Expro Group Holdings N.V. Common Stock;$18.445;-0.135;-0.727%;2012483337.00;;2013;78474;Energy;Oilfield Services/Equipment
YPF;YPF Sociedad Anonima Common Stock;$4.33;-0.07;-1591%;1703044394.00;Argentina;1993;913699;Energy;Integrated oil Companies
ZEST;Ecoark Holdings Inc. Common Stock;$3.99;-0.08;-1966%;105132905.00;United States;;49607;Energy;Oil & Gas Production
